Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TestSuite1,Chrome 109.0.0.0,,,2023-01-23 15:03:57,2023-01-23 15:07:10,"3m - 13,363s",PASSED
,,,,,,,
Test Cases/CompaniesCompetitors/EjemploValidacion,Chrome 109.0.0.0,"Verificar la funcion de busqueda de la caja input ""search competitor""",,2023-01-23 15:03:57,2023-01-23 15:05:19,"1m - 21,462s",PASSED
"openBrowser("""")",Chrome 109.0.0.0,,,2023-01-23 15:03:58,2023-01-23 15:04:02,"3,597s",PASSED
"navigateToUrl(""https://mip.eassets.emeal.nttdata.com"")",Chrome 109.0.0.0,,,2023-01-23 15:04:02,2023-01-23 15:04:25,"23,055s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/button_Continue""))",Chrome 109.0.0.0,,,2023-01-23 15:04:25,2023-01-23 15:04:26,"1,502s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/span_Privacy policy_mat-checkbox-inner-container""))",Chrome 109.0.0.0,,,2023-01-23 15:04:26,2023-01-23 15:04:28,"1,932s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/span_Terms of use_mat-checkbox-inner-container""))",Chrome 109.0.0.0,,,2023-01-23 15:04:28,2023-01-23 15:04:30,"2,050s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/button_Continue""))",Chrome 109.0.0.0,,,2023-01-23 15:04:30,2023-01-23 15:04:32,"1,953s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/mat-icon_close""))",Chrome 109.0.0.0,,,2023-01-23 15:04:32,2023-01-23 15:04:34,"2,029s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/button_Continue""))",Chrome 109.0.0.0,,,2023-01-23 15:04:34,2023-01-23 15:04:36,"2,041s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/mat-icon_navigate_before""))",Chrome 109.0.0.0,,,2023-01-23 15:04:36,2023-01-23 15:04:38,"1,972s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/a_apartmentCompaniesexpand_more""))",Chrome 109.0.0.0,,,2023-01-23 15:04:38,2023-01-23 15:04:40,"2,062s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/label_Competitors""))",Chrome 109.0.0.0,,,2023-01-23 15:04:40,2023-01-23 15:04:42,"1,932s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/td_61.594.305.000""))",Chrome 109.0.0.0,,,2023-01-23 15:04:42,2023-01-23 15:04:47,"4,998s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/span_Accenture""))",Chrome 109.0.0.0,,,2023-01-23 15:04:47,2023-01-23 15:04:49,"2,026s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/td_61.594.305.000""))",Chrome 109.0.0.0,,,2023-01-23 15:04:49,2023-01-23 15:04:57,"7,995s",PASSED
"click(findTestObject(""Object Repository/Page_Market Intelligence Platform/a_Accenture to acquire SKS Group""))",Chrome 109.0.0.0,,,2023-01-23 15:04:57,2023-01-23 15:04:59,"2,094s",PASSED
delay(15),Chrome 109.0.0.0,"link de la noticia
",,2023-01-23 15:04:59,2023-01-23 15:05:14,"15,134s",PASSED
"verifyTextPresent(""Accenture to acquire SKS Group"", false)",Chrome 109.0.0.0,"verificar que el titulo este visible
",,2023-01-23 15:05:14,2023-01-23 15:05:16,"2,110s",PASSED
"switchToWindowTitle(""Accenture to acquire SKS Group"")",Chrome 109.0.0.0,"Se cambia de ventana a a de UptoDate
",,2023-01-23 15:05:16,2023-01-23 15:05:17,"0,158s",PASSED
"verifyElementText(findTestObject(""ObjetosManuales/Page_Accenture to acquire SKS Group/h2_Accenture to acquire SKS Group_Uptodate""), ""Accenture to acquire SKS Group"")",Chrome 109.0.0.0,,,2023-01-23 15:05:17,2023-01-23 15:05:17,"0,547s",PASSED
